dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
reliability,decode,RS:8:4,RS k=8 m=4,1048576.0,0.000145,0.001884000027,0.001739000027,0.001739000027,1199.310363448276
reliability,encode,RS:8:4,RS k=8 m=4,10485760.0,0.023529,0.023545531556,1.6531555999999697e-05,1.6531555999999697e-05,0.07026034255599344
reliability,decode,RS:8:4,RS k=8 m=4,10485760.0,0.001884,0.003287102096,0.001403102096,0.001403102096,74.47463354564756
reliability,encode,RS:8:4,RS k=8 m=4,52428800.0,0.117579,0.11668099463,-0.0008980053699999963,0.0008980053699999963,0.7637463917876459
reliability,decode,RS:8:4,RS k=8 m=4,52428800.0,0.017252,0.018066668883,0.0008146688830000005,0.0008146688830000005,4.722170664270813
reliability,encode,RS:8:4,RS k=8 m=4,104857600.0,0.233121,0.252627521753,0.019506521753000022,0.019506521753000022,8.367552366796652
reliability,decode,RS:8:4,RS k=8 m=4,104857600.0,0.038295,0.037224471569,-0.0010705284310000007,0.0010705284310000007,2.7954783418200826
reliability,encode,RS:8:4,RS k=8 m=4,1048576000.0,2.683501,0.23312099278,-2.45038000722,2.45038000722,91.3128039534921
reliability,decode,RS:8:4,RS k=8 m=4,1048576000.0,0.396729,0.038295000792,-0.358433999208,0.358433999208,90.34731497016855
reliability,encode,RS:10:4,RS k=10 m=4,1048576.0,0.002378,0.023406000808,0.021028000808,0.021028000808,884.2725318755256
reliability,decode,RS:10:4,RS k=10 m=4,1048576.0,0.000134,0.001832999988,0.001698999988,0.001698999988,1267.91043880597
reliability,encode,RS:10:4,RS k=10 m=4,10485760.0,0.023406,0.023191325366,-0.00021467463399999984,0.00021467463399999984,0.9171777920191397
reliability,decode,RS:10:4,RS k=10 m=4,10485760.0,0.001833,0.00330585707,0.0014728570699999999,0.0014728570699999999,80.35226786688489
reliability,encode,RS:10:4,RS k=10 m=4,52428800.0,0.115695,0.115849561989,0.00015456198899999052,0.00015456198899999052,0.1335943549850819
reliability,decode,RS:10:4,RS k=10 m=4,52428800.0,0.017403,0.018139665946,0.0007366659460000015,0.0007366659460000015,4.232982508762866
reliability,encode,RS:10:4,RS k=10 m=4,104857600.0,0.231404,0.24942715466,0.018023154660000013,0.018023154660000013,7.788609816597818
reliability,decode,RS:10:4,RS k=10 m=4,104857600.0,0.038523,0.037481106818,-0.0010418931820000005,0.0010418931820000005,2.704600321885628
reliability,encode,RS:10:4,RS k=10 m=4,1048576000.0,2.656606,0.231404006481,-2.425201993519,2.425201993519,91.28948716968192
reliability,decode,RS:10:4,RS k=10 m=4,1048576000.0,0.398887,0.038522999734,-0.360364000266,0.360364000266,90.3423777325408
