algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
BZ2,1,15,1191.56x,0.614684,0.000388,0.000348,0.000077,0.000019,0.015557
BZ2,1,16,1191.56x,0.624626,0.000357,0.000285,0.000074,0.000017,0.015770
BZ2,1,17,1191.56x,0.610518,0.000363,0.000368,0.000074,0.000018,0.015808
BZ2,1,18,1191.56x,0.615691,0.000376,0.000362,0.000068,0.000018,0.015693
BZ2,1,19,1191.56x,0.621347,0.000346,0.000275,0.000074,0.000018,0.015776
BZ2,1,20,1191.56x,0.609058,0.000379,0.000358,0.000073,0.000019,0.015890
BZ2,1,21,1191.56x,0.615943,0.000381,0.000355,0.000074,0.000020,0.015494
BZ2,1,22,1191.56x,0.621440,0.000351,0.000289,0.000075,0.000019,0.015709
BZ2,1,23,1191.56x,0.610874,0.000366,0.000358,0.000073,0.000019,0.015815
BZ2,1,24,1191.56x,0.615328,0.000381,0.000402,0.000077,0.000020,0.015528
BZ2,1,25,1191.56x,0.621569,0.000370,0.000288,0.000074,0.000018,0.015722
BZ2,1,26,1191.56x,0.609736,0.000374,0.000368,0.000072,0.000018,0.015806
BZ2,1,27,1191.56x,0.616701,0.000386,0.000359,0.000075,0.000018,0.015537
BZ2,1,28,1191.56x,0.622130,0.000375,0.000289,0.000074,0.000018,0.015752
BZ2,1,29,1191.56x,0.609220,0.000369,0.000358,0.000072,0.000019,0.015775
BZ2,1,30,1191.56x,0.616962,0.000380,0.000364,0.000074,0.000019,0.015506
BZ2,1,31,1191.56x,0.620423,0.000384,0.000285,0.000075,0.000018,0.015796
BZ2,10,1,1878.50x,6.715963,0.004048,0.003412,0.000084,0.000019,0.169192
BZ2,10,2,1878.50x,6.514460,0.003603,0.003439,0.000083,0.000018,0.159731
BZ2,10,3,1878.50x,6.714419,0.003369,0.002862,0.000092,0.000019,0.159537
BZ2,10,4,1878.50x,6.552391,0.003488,0.003324,0.000085,0.000022,0.159149
BZ2,10,5,1878.50x,6.718101,0.003456,0.002967,0.000089,0.000018,0.160189
BZ2,10,6,1878.50x,6.524604,0.003262,0.002856,0.000082,0.000019,0.158417
BZ2,10,7,1878.50x,6.560368,0.003261,0.003091,0.000083,0.000019,0.159605
BZ2,10,8,1878.50x,6.537209,0.003374,0.003017,0.000090,0.000019,0.160130
BZ2,10,9,1878.50x,6.523199,0.003407,0.002846,0.000091,0.000019,0.158138
BZ2,10,10,1878.50x,6.558011,0.003316,0.003036,0.000081,0.000018,0.160362
BZ2,10,11,1878.50x,6.536470,0.003316,0.003150,0.000088,0.000019,0.160177
BZ2,10,12,1878.50x,6.519392,0.003398,0.002847,0.000081,0.000018,0.160263
BZ2,10,13,1878.50x,6.556227,0.003615,0.003495,0.000080,0.000019,0.159984
BZ2,10,14,1878.50x,6.533815,0.003371,0.003035,0.000083,0.000018,0.160211
BZ2,10,15,1878.50x,6.529158,0.003370,0.002945,0.000084,0.000020,0.159120
