size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
100,8,4,30,0.244258,0.035827,0.033125,0.039644,0.054588,0.048619
100,8,4,31,0.246728,0.034095,0.035739,0.035953,0.060167,0.051149
100,10,4,1,0.245270,0.038557,0.034198,0.042134,0.050949,0.047495
100,10,4,2,0.243805,0.035741,0.038563,0.039116,0.054784,0.049070
100,10,4,3,0.245002,0.039880,0.034102,0.043925,0.051101,0.047345
100,10,4,4,0.246806,0.033075,0.034344,0.039745,0.055696,0.044522
100,10,4,5,0.242039,0.040861,0.033825,0.044229,0.050331,0.047967
100,10,4,6,0.243931,0.032629,0.035348,0.038321,0.054597,0.049296
100,10,4,7,0.244661,0.035467,0.032905,0.039411,0.053753,0.048623
100,10,4,8,0.246042,0.034994,0.035458,0.037788,0.053595,0.047467
100,10,4,9,0.244484,0.038529,0.034379,0.041687,0.052420,0.047068
100,10,4,10,0.244991,0.032719,0.034461,0.040893,0.054739,0.048597
100,10,4,11,0.248252,0.037144,0.033284,0.039668,0.052596,0.048816
100,10,4,12,0.246489,0.032636,0.035212,0.040239,0.050536,0.048137
100,10,4,13,0.239753,0.036459,0.034050,0.041863,0.052278,0.046639
100,10,4,14,0.244801,0.035566,0.033864,0.038693,0.055209,0.049359
100,10,4,15,0.245756,0.035110,0.034340,0.040634,0.053080,0.049831
100,10,4,16,0.245876,0.034894,0.034888,0.038556,0.054004,0.048338
100,10,4,17,0.244945,0.037149,0.033476,0.038896,0.050978,0.051679
100,10,4,18,0.244053,0.038389,0.033835,0.038049,0.051918,0.049029
100,10,4,19,0.245600,0.034198,0.033373,0.038668,0.051839,0.045826
100,10,4,20,0.247224,0.037084,0.033623,0.039389,0.054266,0.050289
100,10,4,21,0.243652,0.036522,0.034263,0.038217,0.050602,0.049694
100,10,4,22,0.243086,0.038088,0.034271,0.040014,0.050649,0.047890
100,10,4,23,0.245384,0.039210,0.033461,0.037772,0.051422,0.047016
100,10,4,24,0.246129,0.036297,0.035270,0.037729,0.050280,0.049087
100,10,4,25,0.245309,0.038798,0.033332,0.040207,0.050779,0.046304
100,10,4,26,0.245050,0.036031,0.033178,0.038601,0.052690,0.047042
100,10,4,27,0.243865,0.036977,0.034168,0.038748,0.051937,0.046160
100,10,4,28,0.244763,0.039741,0.033837,0.042718,0.050134,0.047522
100,10,4,29,0.245746,0.035539,0.033226,0.038351,0.050981,0.049021
