algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,50,256,30,0.377528,0.402382,0.016865,0.018508,0.016546,0.016841
AES,50,256,31,0.379247,0.404609,0.016521,0.017469,0.017321,0.017892
AES,100,128,1,0.591008,0.628090,0.031469,0.031371,0.031912,0.031750
AES,100,128,2,0.594855,0.634237,0.031273,0.034235,0.031644,0.032347
AES,100,128,3,0.590324,0.636165,0.029226,0.034368,0.031938,0.032374
AES,100,128,4,0.590894,0.636550,0.029677,0.031111,0.034329,0.035162
AES,100,128,5,0.585744,0.628370,0.030393,0.032588,0.031381,0.031680
AES,100,128,6,0.596761,0.632002,0.031825,0.034323,0.031377,0.033123
AES,100,128,7,0.596379,0.636767,0.029482,0.033643,0.031187,0.032546
AES,100,128,8,0.593756,0.628515,0.029550,0.031754,0.031492,0.034540
AES,100,128,9,0.585222,0.628470,0.030443,0.034286,0.031398,0.032633
AES,100,128,10,0.591866,0.623269,0.031230,0.034226,0.031263,0.033494
AES,100,128,11,0.596749,0.638593,0.029563,0.034540,0.032045,0.032875
AES,100,128,12,0.585951,0.630156,0.029330,0.030985,0.034351,0.035370
AES,100,128,13,0.595285,0.638593,0.030482,0.032662,0.031702,0.032217
AES,100,128,14,0.590658,0.628399,0.031230,0.033948,0.031402,0.033574
AES,100,128,15,0.588190,0.633852,0.029528,0.033555,0.031360,0.032894
AES,100,128,16,0.592280,0.628477,0.029445,0.031175,0.031669,0.034893
AES,100,128,17,0.590227,0.627336,0.031858,0.032581,0.031153,0.032156
AES,100,128,18,0.590478,0.628336,0.031292,0.034217,0.031058,0.033393
AES,100,128,19,0.592344,0.631554,0.030929,0.034764,0.032113,0.033010
AES,100,128,20,0.595585,0.625628,0.029524,0.031063,0.031852,0.036838
AES,100,128,21,0.591198,0.624597,0.030424,0.032684,0.031406,0.032098
AES,100,128,22,0.590082,0.632458,0.031758,0.034364,0.031829,0.033565
AES,100,128,23,0.601904,0.626479,0.029605,0.033982,0.029926,0.032718
AES,100,128,24,0.588866,0.633283,0.029685,0.031339,0.031744,0.034895
AES,100,128,25,0.594245,0.628363,0.030856,0.033965,0.031466,0.032554
AES,100,128,26,0.591655,0.629694,0.031266,0.034529,0.030576,0.032872
AES,100,128,27,0.592186,0.632785,0.029221,0.034084,0.032142,0.032852
AES,100,128,28,0.591888,0.627564,0.029410,0.031135,0.031767,0.036797
AES,100,128,29,0.585070,0.629673,0.030397,0.032589,0.031248,0.032001
AES,100,128,30,0.587405,0.621777,0.031507,0.034369,0.031747,0.032991
AES,100,128,31,0.588348,0.629455,0.029358,0.033263,0.029857,0.032766
AES,100,256,1,0.749167,0.803594,0.029683,0.031470,0.033484,0.035379
AES,100,256,2,0.747575,0.805628,0.030050,0.032501,0.031427,0.034219
AES,100,256,3,0.747285,0.790821,0.031530,0.034449,0.029145,0.033372
AES,100,256,4,0.753154,0.806713,0.029546,0.033586,0.031960,0.033466
AES,100,256,5,0.757642,0.793855,0.029633,0.031099,0.034232,0.035338
AES,100,256,6,0.753016,0.796037,0.030092,0.032740,0.031180,0.032439
AES,100,256,7,0.756146,0.788125,0.031303,0.034480,0.031645,0.034837
AES,100,256,8,0.748216,0.798900,0.029825,0.033884,0.031308,0.033075
AES,100,256,9,0.753497,0.796072,0.030051,0.031241,0.031535,0.035107
AES,100,256,10,0.748994,0.792483,0.030291,0.032881,0.031363,0.032703
AES,100,256,11,0.752559,0.789000,0.031157,0.036031,0.031426,0.032606
AES,100,256,12,0.746457,0.797689,0.029659,0.033720,0.032185,0.035165
AES,100,256,13,0.753323,0.793302,0.030288,0.031339,0.034200,0.035163
AES,100,256,14,0.756340,0.794987,0.030124,0.033357,0.031383,0.032489
AES,100,256,15,0.746542,0.791938,0.031209,0.034559,0.030563,0.033227
AES,100,256,16,0.746751,0.799416,0.029399,0.034032,0.031900,0.033248
AES,100,256,17,0.746892,0.794240,0.030243,0.031625,0.031583,0.035350
AES,100,256,18,0.748646,0.801857,0.030447,0.032971,0.031720,0.033140
AES,100,256,19,0.746311,0.797227,0.031307,0.034547,0.032196,0.033490
AES,100,256,20,0.743192,0.798803,0.029759,0.033471,0.031847,0.033420
AES,100,256,21,0.751888,0.795286,0.030348,0.031862,0.033680,0.035182
AES,100,256,22,0.748611,0.799938,0.030328,0.032589,0.031667,0.032083
AES,100,256,23,0.751835,0.806904,0.031087,0.034710,0.032741,0.032795
AES,100,256,24,0.755488,0.799525,0.029553,0.033888,0.032283,0.032528
AES,100,256,25,0.753139,0.801698,0.030876,0.032423,0.033272,0.034036
AES,100,256,26,0.744969,0.798723,0.030383,0.033243,0.031122,0.032009
AES,100,256,27,0.753281,0.800456,0.031012,0.034200,0.033092,0.034939
AES,100,256,28,0.750271,0.798970,0.029796,0.033621,0.032082,0.032802
AES,100,256,29,0.745132,0.796925,0.030976,0.032025,0.033683,0.034075
AES,100,256,30,0.756711,0.805260,0.030389,0.032873,0.031824,0.032535
AES,100,256,31,0.748109,0.790746,0.031075,0.034667,0.033046,0.033487
AES,1000,128,1,5.847285,6.282039,0.299085,0.291517,0.301581,0.302465
AES,1000,128,2,5.863955,6.224534,0.304294,0.319749,0.306073,0.315400
AES,1000,128,3,5.840625,6.251341,0.297429,0.316346,0.304049,0.318121
AES,1000,128,4,5.846419,6.269320,0.304354,0.318534,0.300854,0.314969
AES,1000,128,5,5.873579,6.239032,0.291619,0.318755,0.296767,0.320515
AES,1000,128,6,5.836150,6.245917,0.301495,0.316974,0.302441,0.315848
AES,1000,128,7,5.853905,6.239693,0.296167,0.316767,0.297273,0.317499
AES,1000,128,8,5.838296,6.208722,0.304738,0.319568,0.297215,0.312159
AES,1000,128,9,5.831183,6.226568,0.294491,0.317963,0.290073,0.316770
AES,1000,128,10,5.839575,6.243111,0.300429,0.318524,0.301860,0.315417
AES,1000,128,11,5.834899,6.206344,0.298538,0.315734,0.303114,0.315734
AES,1000,128,12,5.828473,6.214444,0.298347,0.319206,0.297347,0.313405
AES,1000,128,13,5.806239,6.212808,0.287214,0.313448,0.293279,0.315722
AES,1000,128,14,5.832272,6.223006,0.303587,0.318640,0.302463,0.314189
AES,1000,128,15,5.841235,6.213157,0.297007,0.315895,0.302270,0.315078
AES,1000,128,16,5.821234,6.210318,0.299315,0.321743,0.297986,0.313314
AES,1000,128,17,5.814736,6.225930,0.295422,0.315992,0.292825,0.312884
AES,1000,128,18,5.835172,6.200068,0.304137,0.320313,0.297809,0.312230
AES,1000,128,19,5.844467,6.219447,0.300619,0.313742,0.304784,0.313897
AES,1000,128,20,5.857400,6.200189,0.296373,0.319392,0.292244,0.315329
AES,1000,128,21,5.796143,6.205542,0.294518,0.316995,0.294749,0.315459
AES,1000,128,22,5.811013,6.235436,0.301523,0.318527,0.301077,0.314871
AES,1000,128,23,5.847948,6.211423,0.291708,0.318218,0.304777,0.314034
AES,1000,128,24,5.832157,6.218853,0.297314,0.318745,0.294690,0.317107
AES,1000,128,25,5.795168,6.212507,0.292529,0.320079,0.294026,0.313902
AES,1000,128,26,5.824072,6.189144,0.305261,0.319068,0.299256,0.314647
AES,1000,128,27,5.827867,6.192086,0.295830,0.316295,0.307671,0.317843
AES,1000,128,28,5.817934,6.198150,0.299168,0.318692,0.288718,0.313069
AES,1000,128,29,5.828864,6.209792,0.294073,0.317256,0.295247,0.315925
AES,1000,128,30,5.813742,6.216540,0.302141,0.323136,0.304213,0.311799
AES,1000,128,31,5.825396,6.210321,0.294693,0.317598,0.301847,0.318038
AES,1000,256,1,7.456183,7.883117,0.297886,0.321316,0.290721,0.313862
AES,1000,256,2,7.407416,7.895945,0.292503,0.316566,0.297086,0.313532
AES,1000,256,3,7.439974,7.892063,0.301963,0.321732,0.300726,0.315832
AES,1000,256,4,7.455441,7.875219,0.291452,0.318127,0.303860,0.313731
AES,1000,256,5,7.426994,7.871466,0.296163,0.320407,0.294269,0.313783
AES,1000,256,6,7.413906,7.885292,0.295036,0.317007,0.296631,0.315267
AES,1000,256,7,7.431733,7.880327,0.304716,0.319047,0.301553,0.312436
AES,1000,256,8,7.431655,7.863436,0.295109,0.320247,0.303066,0.315530
