algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA3_256,1000,25,2.210226,1.060440,0.409522
SHA3_256,1000,26,2.206682,1.038775,0.406161
SHA3_256,1000,27,2.220387,1.065091,0.411722
SHA3_256,1000,28,2.204366,1.032511,0.412790
SHA3_256,1000,29,2.191002,1.057296,0.409274
SHA3_256,1000,30,2.193965,1.044951,0.403370
SHA3_256,1000,31,2.183535,8.704802,0.422454
BLAKE3,1,1,0.000323,0.000684,0.038843
BLAKE3,1,2,0.000242,0.000508,0.000146
BLAKE3,1,3,0.000251,0.000500,0.000139
BLAKE3,1,4,0.000251,0.000501,0.000136
BLAKE3,1,5,0.000247,0.000506,0.000134
BLAKE3,1,6,0.000250,0.000516,0.000140
BLAKE3,1,7,0.000254,0.000507,0.000137
BLAKE3,1,8,0.000252,0.000520,0.000136
BLAKE3,1,9,0.000691,0.001290,0.000207
BLAKE3,1,10,0.000696,0.001285,0.000205
BLAKE3,1,11,0.000718,0.001289,0.000209
BLAKE3,1,12,0.000707,0.001321,0.000208
BLAKE3,1,13,0.000684,0.001291,0.000216
BLAKE3,1,14,0.000693,0.001310,0.000208
BLAKE3,1,15,0.000680,0.001300,0.000215
BLAKE3,1,16,0.000699,0.001303,0.000212
BLAKE3,1,17,0.000728,0.001301,0.000204
BLAKE3,1,18,0.000694,0.001312,0.000209
BLAKE3,1,19,0.000693,0.001297,0.000215
BLAKE3,1,20,0.000706,0.001309,0.000207
BLAKE3,1,21,0.000697,0.001305,0.000219
BLAKE3,1,22,0.000693,0.001305,0.000218
BLAKE3,1,23,0.000708,0.001310,0.000207
BLAKE3,1,24,0.000706,0.001313,0.000206
BLAKE3,1,25,0.000698,0.001295,0.000211
BLAKE3,1,26,0.000696,0.001324,0.000207
BLAKE3,1,27,0.000701,0.001359,0.000211
BLAKE3,1,28,0.000689,0.001308,0.000216
BLAKE3,1,29,0.000709,0.001348,0.000207
BLAKE3,1,30,0.000701,0.001314,0.000208
BLAKE3,1,31,0.000682,0.001295,0.000216
BLAKE3,10,1,0.002762,0.005559,0.003311
BLAKE3,10,2,0.002773,0.005392,0.001723
BLAKE3,10,3,0.002812,0.005577,0.001723
BLAKE3,10,4,0.002815,0.005658,0.001736
BLAKE3,10,5,0.002814,0.005506,0.001711
BLAKE3,10,6,0.002811,0.005612,0.001715
BLAKE3,10,7,0.002812,0.005641,0.001754
BLAKE3,10,8,0.002710,0.005537,0.001736
BLAKE3,10,9,0.002805,0.005650,0.001742
BLAKE3,10,10,0.002815,0.005684,0.001823
BLAKE3,10,11,0.002777,0.005616,0.001755
BLAKE3,10,12,0.002803,0.005728,0.001811
BLAKE3,10,13,0.002828,0.005735,0.001841
BLAKE3,10,14,0.002763,0.005644,0.001809
BLAKE3,10,15,0.002804,0.005720,0.001813
BLAKE3,10,16,0.002827,0.005755,0.001847
BLAKE3,10,17,0.002812,0.005690,0.001822
BLAKE3,10,18,0.002818,0.005789,0.001831
BLAKE3,10,19,0.002804,0.005758,0.001859
BLAKE3,10,20,0.002753,0.005714,0.001919
BLAKE3,10,21,0.002749,0.005750,0.001854
BLAKE3,10,22,0.002799,0.005795,0.001929
BLAKE3,10,23,0.002781,0.005698,0.001888
BLAKE3,10,24,0.002805,0.005779,0.001848
BLAKE3,10,25,0.002790,0.005757,0.001887
BLAKE3,10,26,0.002812,0.005616,0.001825
BLAKE3,10,27,0.002803,0.005745,0.001829
BLAKE3,10,28,0.002771,0.005751,0.001868
BLAKE3,10,29,0.002788,0.005656,0.001767
BLAKE3,10,30,0.002801,0.005732,0.001758
BLAKE3,10,31,0.002823,0.005708,0.001810
BLAKE3,50,1,0.014290,0.681744,0.022873
BLAKE3,50,2,0.014267,0.591706,0.022525
BLAKE3,50,3,0.014244,0.029603,0.024172
BLAKE3,50,4,0.014303,0.027453,0.022486
BLAKE3,50,5,0.014259,0.049503,0.024064
BLAKE3,50,6,0.014281,0.027757,0.022774
BLAKE3,50,7,0.014235,0.029729,0.024754
BLAKE3,50,8,0.014522,0.027915,0.022568
BLAKE3,50,9,0.014255,0.029905,0.024117
BLAKE3,50,10,0.014216,0.046768,0.022857
BLAKE3,50,11,0.014280,0.029928,0.023922
BLAKE3,50,12,0.014245,0.028155,0.023009
BLAKE3,50,13,0.014212,0.029761,0.023885
BLAKE3,50,14,0.015751,0.027911,0.022204
BLAKE3,50,15,0.014260,0.029608,0.025048
BLAKE3,50,16,0.014208,0.045334,0.023524
BLAKE3,50,17,0.014284,0.029608,0.024291
BLAKE3,50,18,0.014264,0.028853,0.022995
BLAKE3,50,19,0.014230,0.029778,0.023904
BLAKE3,50,20,0.014294,0.028719,0.023051
BLAKE3,50,21,0.014248,0.047814,0.024231
BLAKE3,50,22,0.014244,0.028452,0.023423
BLAKE3,50,23,0.014286,0.029787,0.023851
BLAKE3,50,24,0.014388,0.028865,0.023141
BLAKE3,50,25,0.015463,0.029681,0.024107
BLAKE3,50,26,0.014279,0.045395,0.023421
BLAKE3,50,27,0.014235,0.029826,0.024276
BLAKE3,50,28,0.014231,0.028940,0.023136
BLAKE3,50,29,0.014297,0.029746,0.023913
BLAKE3,50,30,0.014273,0.028592,0.023185
BLAKE3,50,31,0.014226,0.047090,0.024273
BLAKE3,100,1,0.028418,0.084562,0.042988
BLAKE3,100,2,0.028400,0.089122,0.046928
BLAKE3,100,3,0.028449,0.098235,0.044954
BLAKE3,100,4,0.028390,0.076190,0.047595
BLAKE3,100,5,0.028352,0.084400,0.044852
BLAKE3,100,6,0.028494,0.096228,0.046576
BLAKE3,100,7,0.028244,0.085944,0.045078
BLAKE3,100,8,0.028380,0.091321,0.046905
BLAKE3,100,9,0.028547,0.095266,0.045334
BLAKE3,100,10,0.028485,0.096174,0.046713
BLAKE3,100,11,0.028386,0.083794,0.045162
BLAKE3,100,12,0.028484,0.086571,0.047095
BLAKE3,100,13,0.028458,0.086500,0.045256
BLAKE3,100,14,0.028399,0.088353,0.046929
BLAKE3,100,15,0.028508,0.092597,0.044732
BLAKE3,100,16,0.028472,0.090184,0.047092
BLAKE3,100,17,0.028402,0.103314,0.044966
BLAKE3,100,18,0.028452,0.087907,0.047042
BLAKE3,100,19,0.028404,0.091454,0.044887
BLAKE3,100,20,0.028370,0.087534,0.047492
BLAKE3,100,21,0.028476,0.093684,0.044782
BLAKE3,100,22,0.028394,0.087252,0.046937
BLAKE3,100,23,0.028361,0.095540,0.044671
BLAKE3,100,24,0.028431,0.089750,0.046997
BLAKE3,100,25,0.028449,0.091042,0.044997
BLAKE3,100,26,0.028403,0.096910,0.046991
BLAKE3,100,27,0.028521,0.095573,0.044915
BLAKE3,100,28,0.028438,0.086834,0.047013
BLAKE3,100,29,0.028394,0.085356,0.045538
BLAKE3,100,30,0.028483,0.096783,0.046659
BLAKE3,100,31,0.028428,0.086721,0.045319
BLAKE3,1000,1,0.280577,1.020042,0.372769
BLAKE3,1000,2,0.284676,1.019844,0.407058
BLAKE3,1000,3,0.284839,1.050310,0.406334
BLAKE3,1000,4,0.275443,1.053414,0.415405
BLAKE3,1000,5,0.285795,1.052586,0.408580
BLAKE3,1000,6,0.284733,1.039468,0.410299
BLAKE3,1000,7,0.275849,1.022221,0.408113
BLAKE3,1000,8,0.285709,1.023643,0.410232
BLAKE3,1000,9,0.277944,1.062513,0.411660
BLAKE3,1000,10,0.272931,1.044567,0.409482
BLAKE3,1000,11,0.284342,1.026807,0.404279
BLAKE3,1000,12,0.283351,1.044394,0.421074
BLAKE3,1000,13,0.283185,1.058635,0.398907
