algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,100,8,158.75x,0.385251,0.077345,0.040422,0.000440,0.000063,0.120983
ZLIB,100,9,158.75x,0.387118,0.078302,0.040800,0.000429,0.000060,0.120131
ZLIB,100,10,158.75x,0.385380,0.076594,0.040565,0.000438,0.000062,0.120655
ZLIB,100,11,158.75x,0.387217,0.075996,0.041151,0.000431,0.000062,0.120388
ZLIB,100,12,158.75x,0.385904,0.076722,0.040718,0.000433,0.000064,0.120957
ZLIB,100,13,158.75x,0.386734,0.077041,0.040457,0.000443,0.000061,0.120944
ZLIB,100,14,158.75x,0.386065,0.077346,0.040680,0.000432,0.000061,0.120578
ZLIB,100,15,158.75x,0.387133,0.088096,0.041063,0.000446,0.000065,0.120964
ZLIB,100,16,158.75x,0.385357,0.075955,0.040906,0.000435,0.000062,0.120281
ZLIB,100,17,158.75x,0.385645,0.068896,0.041538,0.000417,0.000067,0.121179
ZLIB,100,18,158.75x,0.385911,0.076033,0.040930,0.000434,0.000062,0.120489
ZLIB,100,19,158.75x,0.385556,0.079380,0.040566,0.000433,0.000062,0.121339
ZLIB,100,20,158.75x,0.384605,0.082973,0.040536,0.000438,0.000061,0.120563
ZLIB,100,21,158.75x,0.385506,0.082796,0.040803,0.000429,0.000063,0.120885
ZLIB,100,22,158.75x,0.384893,0.076114,0.040854,0.000446,0.000060,0.121164
ZLIB,100,23,158.75x,0.385480,0.077443,0.041462,0.000430,0.000064,0.121383
ZLIB,100,24,158.75x,0.386327,0.079544,0.041026,0.000436,0.000061,0.120663
ZLIB,100,25,158.75x,0.385942,0.076319,0.041070,0.000436,0.000064,0.120970
ZLIB,100,26,158.75x,0.384750,0.076701,0.041514,0.000432,0.000063,0.120962
ZLIB,100,27,158.75x,0.385471,0.076620,0.041385,0.000440,0.000067,0.121485
ZLIB,100,28,158.75x,0.385086,0.077252,0.041080,0.000436,0.000064,0.120454
ZLIB,100,29,158.75x,0.385287,0.078456,0.040951,0.000428,0.000063,0.121391
ZLIB,100,30,158.75x,0.386890,0.076921,0.041110,0.000448,0.000065,0.121491
ZLIB,100,31,158.75x,0.385550,0.077585,0.041092,0.000446,0.000057,0.121345
ZLIB,1000,1,159.01x,3.869051,0.905474,0.370599,0.005944,0.001366,1.281142
ZLIB,1000,2,159.01x,3.874151,0.946468,0.400234,0.005959,0.001197,1.292745
ZLIB,1000,3,159.01x,3.854280,0.953796,0.425069,0.006057,0.001083,1.283166
ZLIB,1000,4,159.01x,3.875789,0.948188,0.398856,0.005828,0.001271,1.312827
ZLIB,1000,5,159.01x,3.867253,0.926321,0.400373,0.005931,0.001107,1.294684
ZLIB,1000,6,159.01x,3.861309,0.953376,0.419296,0.005939,0.001377,1.283054
ZLIB,1000,7,159.01x,3.865752,0.952544,0.406251,0.005933,0.001104,1.310888
ZLIB,1000,8,159.01x,3.861965,0.942928,0.398552,0.005915,0.001364,1.296820
ZLIB,1000,9,159.01x,3.864275,1.393782,0.435569,0.005500,0.001307,1.283836
ZLIB,1000,10,159.01x,3.857284,0.944811,0.398078,0.005898,0.001090,1.302595
ZLIB,1000,11,159.01x,3.862573,0.955471,0.399842,0.005961,0.001099,1.286997
ZLIB,1000,12,159.01x,3.862092,0.943125,0.414718,0.005904,0.001076,1.284666
ZLIB,1000,13,159.01x,3.864513,0.950896,0.399302,0.006007,0.001094,1.305250
ZLIB,1000,14,159.01x,3.862247,0.942765,0.393566,0.005963,0.001308,1.292567
ZLIB,1000,15,159.01x,3.867714,0.957022,0.413339,0.005999,0.001299,1.280739
ZLIB,1000,16,159.01x,3.860646,1.628228,0.421151,0.030133,0.001295,1.303102
ZLIB,1000,17,159.01x,3.878714,2.039452,0.412358,0.009748,0.001234,1.290882
ZLIB,1000,18,159.01x,3.877805,2.740310,0.439293,0.007467,0.001282,1.295702
ZLIB,1000,19,159.01x,3.878076,2.867001,0.417979,0.007264,0.001100,1.307304
ZLIB,1000,20,159.01x,3.879978,2.321966,0.414520,0.026108,0.001288,1.295016
ZLIB,1000,21,159.01x,3.880664,2.809042,0.435591,0.010294,0.000988,1.284997
ZLIB,1000,22,159.01x,3.879194,2.027027,0.416320,0.003449,0.001192,1.309451
ZLIB,1000,23,159.01x,3.864220,1.948184,0.414822,0.006039,0.000970,1.287639
ZLIB,1000,24,159.01x,3.853104,0.938275,0.414977,0.006070,0.001253,1.290299
ZLIB,1000,25,159.01x,3.880458,0.950292,0.397321,0.006480,0.001089,1.304951
ZLIB,1000,26,159.01x,3.884301,0.943775,0.392603,0.005925,0.001084,1.296712
ZLIB,1000,27,159.01x,3.880963,0.944321,0.422143,0.005957,0.001114,1.281804
ZLIB,1000,28,159.01x,3.869259,0.961929,0.407008,0.006171,0.001074,1.305153
ZLIB,1000,29,159.01x,3.868934,0.931739,0.399727,0.006002,0.001291,1.289532
ZLIB,1000,30,159.01x,3.857116,0.951791,0.413887,0.006162,0.001077,1.283521
